sentence,label,score
"holes to attach the circuits Modules for the circuit  However, after talking with Prof. ",neutral,0.8117911219596863
The construction of cities with wooden blocks is something recurrent in my work with a group of 5-8-year-olds. ,neutral,0.6440204381942749
This objective would be related to setting up a  circuit that would supply energy to the city in a specific way. ,neutral,0.6015677452087402
"On the board, players can acquire parts of their city, electric circuit, and tips on assembling them. ",neutral,0.7061073780059814
"ElectricCity Recommended age: 8-11 years old  Learning objectives: Identify the parts of an electrical circuit (e.g., battery, wires, switch, light bulb) Describe the flow of electricity in a simple circuit. ",neutral,0.8264408707618713
"polarity, closed circuit) Understand the difference between a closed loop and an open loop. ",neutral,0.8252986073493958
Explain how switches can be used to turn circuits on and off. ,neutral,0.8194703459739685
Investigate how different types of materials affect the flow of electricity in a circuit. ,neutral,0.7611668705940247
"Build and test simple circuits using batteries, wires, and light bulbs. ",neutral,0.7161621451377869
Compare and contrast series and parallel circuits. ,neutral,0.7481787204742432
Understand the importance of safety when working with electrical circuits. ,neutral,0.5406734943389893
"buildings, roads, trees) Parts to build the circuits (e.g. ",neutral,0.7666972875595093
"batteries, wires, switches, light bulbs) Dice (just with the numbers 1, 2, 3) Player markers Players Scenario Hourglass  Objective: Create your city and the electricity circuits on your mission cards. ",neutral,0.8245821595191956
If the house is an electric circuit part: The player can acquire the marked part if the house is a place to receive circuit parts. ,neutral,0.8361459970474243
Part 2 - Building Turn the 15 minutes hourglass upside down Try to build the circuits until the time ends. ,neutral,0.7858635783195496
"When the time finishes, the mission is accomplished if the circuit is working. ",positive,0.563042163848877
